source_name,sellers_json_url,http_status,fetch_success,parsed_success,records_parsed,error_message
Adasta,https://www.Adasta.it/sellers.json,200.0,True,True,108,
Admixer,https://admixer.com/sellers.json,404.0,False,False,0,HTTP 404
Adte (TMS),https://themediasense.com/sellers.json,200.0,True,True,68,
Algorix,https://algorix.co/sellers.json,200.0,True,True,356,
Appodeal,https://appodeal.com/sellers.json,200.0,True,True,24,
AscendX,https://ascendxnow.com/sellers.json,200.0,True,True,12,
Axis,https://axis-marketplace.com/sellers.json,200.0,True,True,107,
Bat Ads,https://bat-ads.com/sellers.json,200.0,True,True,63,
Bidease,https://www.bidease.com/sellers.json,200.0,True,True,355,
Bigo,https://bigo.sg/sellers.json,200.0,True,True,20708,
Blue Focus,https://bluexad.ai/sellers.json,200.0,True,True,606,
Cadent,https://cadent.tv/sellers.json,200.0,True,True,189,
Cineverse,https://c360.com/sellers.json,200.0,True,True,38,
Collectcent,http://rtb-useast.motionspots.com/sellers.json,200.0,True,True,82,
Dauup,https://dauup.com/sellers.json,200,True,True,224,
Digital Turbine,https://digitalturbine.com/sellers.json,200.0,True,True,5383,
Displayio,https://www.display.io/sellers.json,200.0,True,True,220,
Do global (DAPP) - algorix,https://www.algorix.co/sellers.json,200.0,True,True,356,
DuoPeak,https://caerulus.io/sellers.json,200.0,True,True,71,
E-Planning,https://www.e-planning.net/sellers.json,200.0,True,True,296,
Escalax,https://escalax.io/sellers.json,200.0,True,True,170,
Eskimi,https://etr.eskimi.com/sellers.json,,False,False,0,"SSLError: HTTPSConnectionPool(host='etr.eskimi.com', port=443): Max retries exceeded with url: /sellers.json (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)')))"
Filmzie,https://filmzie.com/sellers.json,200.0,True,True,87,
Filmzie / APMC,https://filmzie.com/sellers.json,200.0,True,True,87,
Flat Ads,https://www.flat-ads.com/sellers.json,200.0,True,True,304,
FreeWheel,https://www.freewheel.com/sellers.json,200.0,True,True,2230,
Fuse Media,https://fuse.tv/sellers.json,200.0,True,True,7,
Fuse Media TV,https://fuse.tv/sellers.json,200.0,True,True,7,
Gadsme,https://www.gadsme.com/sellers.json,200.0,True,True,215,
Germane Media (SwiftTV),https://thegermanemedia.com/sellers.json,200.0,True,True,488,
Gravite,https://dashboard-middleware.gravite.net/sellers.php,200.0,True,True,1690,
Ignite Media,https://www.ignitemediatech.com/sellers.json,200.0,True,True,1593,
Iion,https://pubs.iion.io/sellers.json,200.0,True,True,307,
IndiCue,https://indicue.com/sellers.json,200.0,True,True,53,
Inmobi,https://www.inmobi.com/sellers.json,200.0,True,True,3068,
Instreamatic,https://instreamatic.com/sellers.json,,False,False,0,"SSLError: HTTPSConnectionPool(host='instreamatic.com', port=443): Max retries exceeded with url: /sellers.json (Caused by SSLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1010)')))"
JunGroup,https://jungroup.com/sellers.json,200.0,True,True,176,
Kika,https://olaex.biz/sellers.json,200.0,True,True,195,
Kodio,https://adelion.com/sellers.json,200.0,True,True,293,
LG Ads,https://adtech.lgads.tv/sellers.json,200.0,True,True,204,
Lacuna,https://www.lacunads.com/sellers.json,200.0,True,True,1083,
Lechance,http://www.lechance.cn/sellers.json,200.0,True,False,0,"JSON parse failed: Expecting ',' delimiter: line 345 column 1 (char 6039)"
Luna,https://lunamedia.io/sellers.json,200.0,True,True,254,
MangoMob / MangoX,https://Mangomob.net/sellers.json,200.0,True,True,106,
Markapp,https://markappmedia.site/sellers.json,200.0,True,True,73,
Maximents/ushareit,https://lacunads.ushareit.com/sellers.json,200.0,True,True,1083,
Meitu,https://www.meitu.com/sellers.json,200.0,True,True,78,
Melodong,https://melodong.com/sellers.json,200.0,True,True,17,
Meta X,https://metaxsoft.com/sellers.json,200.0,True,True,290,
Mindtos,https://www.mindtos.com/sellers.json,200.0,True,True,147,
Mindtos Supply,https://www.mindtos.com/sellers.json,200.0,True,True,147,
Mobitech,https://mobitech.io/sellers.json,200.0,True,True,14,
Nativo,https://iab.nativo.com/sellers.json,200.0,True,True,901,
Navio + Conneqt,https://www.display.io/sellers.json,200.0,True,True,220,
New ID,https://www.its-newid.net/sellers.json,200.0,True,True,13,
Nexverse.ai / Verse.in,https://nexverse.ai/sellers.json,200.0,True,True,843,
Nexxen,https://video.unrulymedia.com/sellers.json,200.0,True,True,1591,
ODK Media,https://d1cf1yi43ies7a.cloudfront.net/odkmedia.net_sellers.json,200.0,True,True,1,
Ogury,https://sellers.ogury.com/,200.0,True,True,892,
OpenX,https://www.openx.com/sellers.json,200.0,True,True,11002,
Opera,https://res.adx.opera.com/sellers.json,200.0,True,True,169,
Orka TV,https://orka.tv/sellers.json,200.0,True,True,140,
Pubmatic,https://cdn.pubmatic.com/sellers/data/sellers.json,200.0,True,True,6441,
Pubnative,https://pubnative.net/sellers.json/,200.0,True,True,2797,
Pubnative Supply,https://pubnative.net/sellers.json/,200.0,True,True,2797,
Pwr Ads,https://streamstak.com/sellers.json,200.0,True,True,30,
Radiance Media,https://www.radiancemedia.net/_functions/JsonText,200.0,True,True,31,
Rise,https://risecodes.com/sellers.json,200.0,True,True,306,
Rumble,https://rumble.com/sellers.json,403.0,False,False,0,HTTP 403
Screencore,https://screencore.io/sellers.json,200.0,True,True,252,
Smaato,https://www.smaato.com/sellers.json,200.0,True,True,3119,
Smarty Ads,https://smartyads.com/sellers.json,200.0,True,True,624,
SmartyAds Supply,https://smartyads.com/sellers.json,200.0,True,True,624,
Sovrn,https://lijit.com/sellers.json,200.0,True,True,7284,
SportX,https://sportxads.com/sellers.json/,200.0,True,True,46,
StreamVision Media,https://www.streamvisionmedia.com/sellers.json,200.0,True,True,32,
TCL,https://www.tcl.com/sellers.json,200.0,True,False,0,JSON parse failed: Extra data: line 144 column 1 (char 2928)
TVIQ,https://tviq.io/sellers.json,200.0,True,True,94,
Taurus,https://taurusx.com/sellers.json,200.0,True,True,971,
Tradplus,https://www.tradplusad.com/sellers.json,200.0,True,True,974,
Tredio,https://tredio.io/sellers.json,200.0,True,True,56,
Tubi,https://tubitv.com/sellers.json,200.0,True,False,0,
VGI,https://verve.com/sellers.json,200.0,True,True,732,
Vidazoo,https://vidazoo.com/sellers.json,200.0,True,True,570,
Video Elephant,https://videoelephant.tv/sellers.json,200.0,True,True,40,
Vistars,https://vistars.ai/sellers.json,200.0,True,True,69,
VoiseTech,https://www.voisetech.com/sellers.json,200.0,True,True,428,
Vungle,https://vungle.com/sellers.json,200.0,True,True,2369,
WURL,https://www.wurl.com/sellers.json,200.0,True,True,276,
Xumo,https://www.xumo.com/sellers.json,200.0,True,True,15,
Zeta,https://ssp.zetaglobal.net/sellers.json,200.0,True,True,141,
adsbyNimbus,https://github.adsbynimbus.com/sellers.json,200.0,True,True,408,
adtelligent,https://adtelligent.com/sellers.json,200.0,True,True,460,
anzu,https://admins-api.anzu.io/sellers.json,200.0,True,True,909,
illumin,http://admanmedia.com/sellers.json,200.0,True,True,683,
zMaticoo,https://zmaticoo.com/sellers.json,200.0,True,True,896,
LKQD.net,https://lkqd.net/sellers.json,200,True,True,1519,
LKQD.com,https://lkqd.com/sellers.json,200,True,True,1519,
